Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-85j6,branch-4ivo,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,imagefile,ANSWER,CUE, TARGET,font
31,1592803390594,22/06/2020 05:23:10,1592803388978,-7,21/06/2020 22:23:08,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,30,4,1,Screen 2,Zone2,response_text_entry,2682.8799999993935,,,,1,0,1,0,,,,,2,test,protect-sf.jpeg,,GUARD,PROTECT,sf
32,1592803392626,22/06/2020 05:23:12,1592803391016,-7,21/06/2020 22:23:11,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,40,5,1,Screen 2,Zone2,response_text_entry,2001.0400000000955,,,WHEEL,1,0,1,0,,,,,2,test,wheel-sf.jpeg,,TIRE,WHEEL,sf
33,1592803394191,22/06/2020 05:23:14,1592803392573,-7,21/06/2020 22:23:12,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,38,6,1,Screen 2,Zone2,response_text_entry,1540.8200000001816,,,,1,0,1,0,,,,,2,test,trail-a.jpeg,,PATH,TRAIL,a
34,1592803395394,22/06/2020 05:23:15,1592803393760,-7,21/06/2020 22:23:13,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,31,7,1,Screen 2,Zone2,response_text_entry,1149.779999999737,,,,1,0,1,0,,,,,2,test,sheep-sf.jpeg,,HERD,SHEEP,sf
35,1592803398824,22/06/2020 05:23:18,1592803397206,-7,21/06/2020 22:23:17,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,26,8,1,Screen 2,Zone2,response_text_entry,3407.8600000002625,,,POTATO,1,0,1,0,,,,,2,test,potato-sf.jpeg,,CHIP,POTATO,sf
36,1592803400309,22/06/2020 05:23:20,1592803398676,-7,21/06/2020 22:23:18,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,24,9,1,Screen 2,Zone2,response_text_entry,1436.3950000006298,,,,1,0,1,0,,,,,2,test,crash-a.jpeg,,ACCIDENT,CRASH,a
37,1592803401622,22/06/2020 05:23:21,1592803400013,-7,21/06/2020 22:23:20,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,43,10,1,Screen 2,Zone2,response_text_entry,1321.6600000005274,,,,1,0,1,0,,,,,2,test,blow-a.jpeg,,WIND,BLOW,a
38,1592803404674,22/06/2020 05:23:24,1592803403055,-7,21/06/2020 22:23:23,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,32,11,1,Screen 2,Zone2,response_text_entry,3023.620000000854,,,HAPPINESS,1,0,1,0,,,,,2,test,happiness-sf.jpeg,,JOY,HAPPINESS,sf
39,1592803406783,22/06/2020 05:23:26,1592803405146,-7,21/06/2020 22:23:25,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,28,12,1,Screen 2,Zone2,response_text_entry,2057.569999999949,,,,1,0,1,0,,,,,2,test,boss-a.jpeg,,EMPLOYEE,BOSS,a
40,1592803407820,22/06/2020 05:23:27,1592803406201,-7,21/06/2020 22:23:26,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,33,13,1,Screen 2,Zone2,response_text_entry,1011.4500000008848,,,,1,0,1,0,,,,,2,test,destory-a.jpeg,,KILL,DESTROY,a
