"","id","font","cond","acc"
"224","5e8a30e32c33ae6d9a030603","SF","self-paced",0.25
"225","5e954b384491ad117052cd48","flu","self-paced",0.166666666666667
"226","5e954b384491ad117052cd48","SF","self-paced",0.166666666666667
"227","5e960111bc10f706bfe802fe","flu","timed",0.833333333333333
"228","5e960111bc10f706bfe802fe","SF","timed",0.583333333333333
"229","5e98f760b15997144ccb811c","flu","timed",0.166666666666667
"230","5e98f760b15997144ccb811c","SF","timed",0
"231","5e9bbf225591a00cf81a872a","flu","timed",0.166666666666667
"232","5e9bbf225591a00cf81a872a","SF","timed",0.0833333333333333
"233","5e9e5208595cb12230f38262","flu","timed",0.166666666666667
"234","5e9e5208595cb12230f38262","SF","timed",0.25
"235","5e9f9c19695232149bb32a86","flu","self-paced",0.0833333333333333
"236","5e9f9c19695232149bb32a86","SF","self-paced",0.333333333333333
"237","5ea0caf8cc5aed0c2532c8a4","flu","timed",0.666666666666667
"238","5ea0caf8cc5aed0c2532c8a4","SF","timed",0.333333333333333
"239","5ea1d25da1c8d20bebd94bd3","flu","self-paced",0.25
"240","5ea1d25da1c8d20bebd94bd3","SF","self-paced",0.583333333333333
"241","5ea9c19ffb690111a323008e","flu","self-paced",0.0833333333333333
"242","5ea9c19ffb690111a323008e","SF","self-paced",0
"243","5ead74964a9aaa40560b5905","flu","self-paced",0.166666666666667
"244","5ead74964a9aaa40560b5905","SF","self-paced",0.583333333333333
"245","5eb06c0a99e5ac10861a80a3","flu","timed",0.25
"246","5eb06c0a99e5ac10861a80a3","SF","timed",0.5
"247","5eb1349410e0ce20c4e793e1","flu","timed",0.333333333333333
"248","5eb1349410e0ce20c4e793e1","SF","timed",0.5
"249","5eb1c24d4e4f4e2fbeebf035","flu","self-paced",0.333333333333333
"250","5eb1c24d4e4f4e2fbeebf035","SF","self-paced",0.333333333333333
"251","5eb2b9daade83c041e91d4b9","flu","timed",0.583333333333333
"252","5eb2b9daade83c041e91d4b9","SF","timed",0.583333333333333
"253","5eb428144900992544ea8d58","flu","timed",0.333333333333333
"254","5eb428144900992544ea8d58","SF","timed",0.25
"255","5eb5b8eb0231250e7042b157","flu","timed",0.5
"256","5eb5b8eb0231250e7042b157","SF","timed",0.25
"257","5ec19ca1d0ff850911b13593","flu","timed",0.0833333333333333
"258","5ec19ca1d0ff850911b13593","SF","timed",0.416666666666667
"259","5ec3f446aa5afd2881e19363","flu","self-paced",0.166666666666667
"260","5ec3f446aa5afd2881e19363","SF","self-paced",0.166666666666667
"261","5ec46d59c1c5e016fafe11d6","flu","timed",0.0833333333333333
"262","5ec46d59c1c5e016fafe11d6","SF","timed",0.5
"263","5ec6d87390a76a10759f56df","flu","self-paced",0.166666666666667
"264","5ec6d87390a76a10759f56df","SF","self-paced",0.166666666666667
"265","5ec6e7b86820ac10f12bb0d4","flu","timed",0
"266","5ec6e7b86820ac10f12bb0d4","SF","timed",0
"267","5ec70a83984a7413dd709fb9","flu","timed",0.166666666666667
"268","5ec70a83984a7413dd709fb9","SF","timed",0.583333333333333
"269","5ec7d712dafc54256f9e903f","flu","self-paced",0.583333333333333
"270","5ec7d712dafc54256f9e903f","SF","self-paced",0.333333333333333
