key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
,,,,,,,,,,,,,,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,school,-0.04826546,-0.018853695,1,0,0,0.897465,polygon_2,1,college,0,13,13,3,1,,,,,,,
,,,,,,,,,,,,,,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,voice,-0.022624434,-0.011312217,1,0,0,0.80565,polygon_2,1,throat ,0,14,14,22,1,,,,,,,
,,,,,,,,,,,,,,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,plane,-0.087481146,0.0173454,1,0,0,1.01857,polygon_2,1,train,0,15,15,23,1,,,,,,,
,,,,,,,,,,,,,,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,product,0.043740573,-0.000754148,1,0,0,1.019325,polygon_2,1,factory,0,16,16,6,1,,,,,,,
,,,,,,,,,,,,,,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,motor,-0.070889894,-0.032428356,1,0,0,0.928585,polygon_2,1,engine,0,17,17,5,1,,,,,,,
,,,,,,,,,,,,,,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,chair,-0.037707391,0.029411765,1,0,0,0.903,polygon_2,1,office,0,18,18,13,1,,,,,,,
,,,,,,,,,,,,,,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,-0.079939668,0.020361991,1,0,0,0.822155,polygon_2,1,report,0,19,19,18,1,,,,,,,
,,,,,,,,,,,,,,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,shape,-0.060331825,0.012820513,1,0,0,0.878605,polygon_2,1,curve,0,20,20,4,1,,,,,,,
,,,,,,,,,,,,,,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,rifle,-0.060331825,-0.009803922,1,0,0,0.778545,polygon_2,1,range,0,21,21,17,1,,,,,,,
,,,,,,,,,,,,,,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,-0.164404223,0.003770739,1,0,0,0.755135,polygon_2,1,group,0,22,22,7,1,,,,,,,
,,,,,,,,,,,,,,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,-0.111613876,0.002262443,1,0,0,0.635755,polygon_2,1,nation,0,23,23,9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003016591,-0.325037707,1,0,0,0.744595,end_polygon
