"","id","font","cond","acc","new_id","Typeface","timed"
"244","5ead74964a9aaa40560b5905","SF","self-paced",0.583333333333333,"122","Sans Forgetica","Self-paced"
"245","5eb06c0a99e5ac10861a80a3","flu","timed",0.25,"123","Arial","Timed"
"246","5eb06c0a99e5ac10861a80a3","SF","timed",0.5,"123","Sans Forgetica","Timed"
"247","5eb1349410e0ce20c4e793e1","flu","timed",0.333333333333333,"124","Arial","Timed"
"248","5eb1349410e0ce20c4e793e1","SF","timed",0.5,"124","Sans Forgetica","Timed"
"249","5eb1c24d4e4f4e2fbeebf035","flu","self-paced",0.333333333333333,"125","Arial","Self-paced"
"250","5eb1c24d4e4f4e2fbeebf035","SF","self-paced",0.333333333333333,"125","Sans Forgetica","Self-paced"
"251","5eb2b9daade83c041e91d4b9","flu","timed",0.583333333333333,"126","Arial","Timed"
"252","5eb2b9daade83c041e91d4b9","SF","timed",0.583333333333333,"126","Sans Forgetica","Timed"
"253","5eb428144900992544ea8d58","flu","timed",0.333333333333333,"127","Arial","Timed"
"254","5eb428144900992544ea8d58","SF","timed",0.25,"127","Sans Forgetica","Timed"
"255","5eb5b8eb0231250e7042b157","flu","timed",0.5,"128","Arial","Timed"
"256","5eb5b8eb0231250e7042b157","SF","timed",0.25,"128","Sans Forgetica","Timed"
"257","5ec19ca1d0ff850911b13593","flu","timed",0.0833333333333333,"129","Arial","Timed"
"258","5ec19ca1d0ff850911b13593","SF","timed",0.416666666666667,"129","Sans Forgetica","Timed"
"259","5ec3f446aa5afd2881e19363","flu","self-paced",0.166666666666667,"130","Arial","Self-paced"
"260","5ec3f446aa5afd2881e19363","SF","self-paced",0.166666666666667,"130","Sans Forgetica","Self-paced"
"261","5ec46d59c1c5e016fafe11d6","flu","timed",0.0833333333333333,"131","Arial","Timed"
"262","5ec46d59c1c5e016fafe11d6","SF","timed",0.5,"131","Sans Forgetica","Timed"
"263","5ec6d87390a76a10759f56df","flu","self-paced",0.166666666666667,"132","Arial","Self-paced"
"264","5ec6d87390a76a10759f56df","SF","self-paced",0.166666666666667,"132","Sans Forgetica","Self-paced"
"265","5ec6e7b86820ac10f12bb0d4","flu","timed",0,"133","Arial","Timed"
"266","5ec6e7b86820ac10f12bb0d4","SF","timed",0,"133","Sans Forgetica","Timed"
"267","5ec70a83984a7413dd709fb9","flu","timed",0.166666666666667,"134","Arial","Timed"
"268","5ec70a83984a7413dd709fb9","SF","timed",0.583333333333333,"134","Sans Forgetica","Timed"
"269","5ec7d712dafc54256f9e903f","flu","self-paced",0.583333333333333,"135","Arial","Self-paced"
"270","5ec7d712dafc54256f9e903f","SF","self-paced",0.333333333333333,"135","Sans Forgetica","Self-paced"
"271","5ecc2f6c079cdc80b6b589f7","flu","self-paced",0.166666666666667,"136","Arial","Self-paced"
"272","5ecc2f6c079cdc80b6b589f7","SF","self-paced",0.333333333333333,"136","Sans Forgetica","Self-paced"
"273","5ed43533bdae560e1127454b","flu","self-paced",0,"137","Arial","Self-paced"
"274","5ed43533bdae560e1127454b","SF","self-paced",0,"137","Sans Forgetica","Self-paced"
"275","5ed7bd95115e060a56ea2d4c","flu","self-paced",0.25,"138","Arial","Self-paced"
"276","5ed7bd95115e060a56ea2d4c","SF","self-paced",0.0833333333333333,"138","Sans Forgetica","Self-paced"
"277","5edeb2f4cfbc2014d8efd88a","flu","timed",0.416666666666667,"139","Arial","Timed"
"278","5edeb2f4cfbc2014d8efd88a","SF","timed",0.583333333333333,"139","Sans Forgetica","Timed"
"279","5ee171492f43f71be5a35213","flu","self-paced",0.166666666666667,"140","Arial","Self-paced"
"280","5ee171492f43f71be5a35213","SF","self-paced",0.5,"140","Sans Forgetica","Self-paced"
"281","5ee50130f8d19d080bcc8263","flu","self-paced",0.166666666666667,"141","Arial","Self-paced"
"282","5ee50130f8d19d080bcc8263","SF","self-paced",0.416666666666667,"141","Sans Forgetica","Self-paced"
"283","5ee728b4b64c3301253b9311","flu","timed",0.416666666666667,"142","Arial","Timed"
"284","5ee728b4b64c3301253b9311","SF","timed",0.25,"142","Sans Forgetica","Timed"
"285","5ee96cbf2825f91f0f5f49d9","flu","timed",0.25,"143","Arial","Timed"
